,Username,Title,Country,Last_Online,Joined,lastrapid,lastblitz,lastdaily,lastbullet,recordrapid,recordblitz,recordbullet,recorddaily
0,0tiara0,NM,BR,1587690696,1533318496,N/A,"{'rating': 1974, 'date': 1587587134, 'rd': 41}",N/A,"{'rating': 1955, 'date': 1571192523, 'rd': 65}",N/A,"{'win': 576, 'loss': 575, 'draw': 68}","{'win': 52, 'loss': 29, 'draw': 3}",N/A
1,11qq11,NM,US,1587532458,1329628001,"{'rating': 1804, 'date': 1584832344, 'rd': 213}","{'rating': 2275, 'date': 1587767148, 'rd': 34}","{'rating': 1693, 'date': 1546204226, 'rd': 84}","{'rating': 2301, 'date': 1582782382, 'rd': 62}","{'win': 48, 'loss': 44, 'draw': 2}","{'win': 2908, 'loss': 2504, 'draw': 365}","{'win': 2472, 'loss': 1682, 'draw': 210}","{'win': 778, 'loss': 517, 'draw': 139, 'time_per_move': 22391, 'timeout_percent': 0}"
2,12teen,NM,CA,1587697362,1436832385,"{'rating': 2400, 'date': 1586024931, 'rd': 314}","{'rating': 2775, 'date': 1587494993, 'rd': 34}","{'rating': 1120, 'date': 1586210404, 'rd': 276}","{'rating': 2888, 'date': 1587702352, 'rd': 28}","{'win': 2, 'loss': 1, 'draw': 0}","{'win': 1003, 'loss': 862, 'draw': 141}","{'win': 2364, 'loss': 2027, 'draw': 240}","{'win': 0, 'loss': 9, 'draw': 0, 'time_per_move': 41007, 'timeout_percent': 100}"
3,190l,NM,US,1587438185,1387637030,N/A,"{'rating': 2076, 'date': 1587438497, 'rd': 44}","{'rating': 1891, 'date': 1433494932, 'rd': 62}","{'rating': 1884, 'date': 1587766334, 'rd': 40}",N/A,"{'win': 2777, 'loss': 2857, 'draw': 317}","{'win': 5514, 'loss': 5228, 'draw': 370}","{'win': 81, 'loss': 83, 'draw': 5, 'time_per_move': 14001, 'timeout_percent': 0}"
4,1b31-0,NM,US,1587578505,1484709881,"{'rating': 2128, 'date': 1548394167, 'rd': 326}","{'rating': 2315, 'date': 1587769874, 'rd': 49}","{'rating': 1914, 'date': 1587768908, 'rd': 59}","{'rating': 2180, 'date': 1587770064, 'rd': 39}","{'win': 3, 'loss': 0, 'draw': 0}","{'win': 628, 'loss': 471, 'draw': 101}","{'win': 723, 'loss': 536, 'draw': 87}","{'win': 129, 'loss': 47, 'draw': 14, 'time_per_move': 42372, 'timeout_percent': 4.35}"
5,1d31-0,NM,US,1587693261,1527112415,"{'rating': 2028, 'date': 1586014362, 'rd': 70}","{'rating': 2424, 'date': 1587771106, 'rd': 20}","{'rating': 1971, 'date': 1587581881, 'rd': 55}","{'rating': 2115, 'date': 1586616926, 'rd': 52}","{'win': 27, 'loss': 8, 'draw': 5}","{'win': 1250, 'loss': 1283, 'draw': 268}","{'win': 113, 'loss': 59, 'draw': 13}","{'win': 94, 'loss': 25, 'draw': 40, 'time_per_move': 20594, 'timeout_percent': 0}"
6,1d4_1-0,NM,US,1587690860,1405785283,"{'rating': 2069, 'date': 1587585113, 'rd': 147}","{'rating': 2073, 'date': 1587683598, 'rd': 49}","{'rating': 1876, 'date': 1581046020, 'rd': 84}","{'rating': 1944, 'date': 1584501257, 'rd': 100}","{'win': 16, 'loss': 17, 'draw': 5}","{'win': 318, 'loss': 210, 'draw': 35}","{'win': 35, 'loss': 23, 'draw': 3}","{'win': 40, 'loss': 33, 'draw': 1, 'time_per_move': 31025, 'timeout_percent': 0}"
7,1e41-o,NM,US,1587695768,1546393876,"{'rating': 2205, 'date': 1587168234, 'rd': 104}","{'rating': 2556, 'date': 1587664391, 'rd': 38}","{'rating': 1783, 'date': 1587742432, 'rd': 67}","{'rating': 2307, 'date': 1587740080, 'rd': 31}","{'win': 41, 'loss': 4, 'draw': 4}","{'win': 758, 'loss': 522, 'draw': 72}","{'win': 1529, 'loss': 1494, 'draw': 178}","{'win': 51, 'loss': 16, 'draw': 7, 'time_per_move': 30075, 'timeout_percent': 0}"
8,1g41-0,NM,US,1587699494,1486226780,"{'rating': 2139, 'date': 1587335620, 'rd': 74}","{'rating': 2486, 'date': 1587754717, 'rd': 23}","{'rating': 1930, 'date': 1587678770, 'rd': 54}","{'rating': 2378, 'date': 1587664836, 'rd': 26}","{'win': 298, 'loss': 156, 'draw': 27}","{'win': 3104, 'loss': 2781, 'draw': 453}","{'win': 1498, 'loss': 1309, 'draw': 153}","{'win': 472, 'loss': 184, 'draw': 75, 'time_per_move': 12018, 'timeout_percent': 0}"
9,1lec,NM,US,1587699484,1355460208,"{'rating': 1961, 'date': 1586743492, 'rd': 172}","{'rating': 2188, 'date': 1587637921, 'rd': 31}","{'rating': 1826, 'date': 1585762802, 'rd': 99}","{'rating': 2067, 'date': 1587776866, 'rd': 86}","{'win': 90, 'loss': 60, 'draw': 10}","{'win': 1497, 'loss': 1055, 'draw': 124}","{'win': 1715, 'loss': 1154, 'draw': 100}","{'win': 450, 'loss': 191, 'draw': 22, 'time_per_move': 17532, 'timeout_percent': 0}"
10,2012vachamp,NM,US,1587696468,1356021506,"{'rating': 1803, 'date': 1537910022, 'rd': 292}","{'rating': 2303, 'date': 1584545922, 'rd': 91}","{'rating': 2114, 'date': 1571502539, 'rd': 243}","{'rating': 2280, 'date': 1586035111, 'rd': 35}","{'win': 0, 'loss': 1, 'draw': 0}","{'win': 262, 'loss': 101, 'draw': 18}","{'win': 20074, 'loss': 2310, 'draw': 416}","{'win': 48, 'loss': 1, 'draw': 1, 'time_per_move': 12933, 'timeout_percent': 0}"
11,2.17E+12,NM,CA,1587701210,1514048892,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,2346pl,NM,PL,1587675859,1333877209,"{'rating': 2124, 'date': 1515613365, 'rd': 136}","{'rating': 2472, 'date': 1587763355, 'rd': 28}","{'rating': 1378, 'date': 1466704335, 'rd': 249}","{'rating': 2223, 'date': 1587759333, 'rd': 37}","{'win': 13, 'loss': 8, 'draw': 0}","{'win': 2151, 'loss': 1504, 'draw': 331}","{'win': 551, 'loss': 382, 'draw': 52}","{'win': 1, 'loss': 0, 'draw': 0, 'time_per_move': 32, 'timeout_percent': 0}"
13,2bf41-0,NM,EE,1587702228,1465836906,"{'rating': 1835, 'date': 1499970813, 'rd': 133}","{'rating': 2464, 'date': 1587611394, 'rd': 54}","{'rating': 1777, 'date': 1587248805, 'rd': 106}","{'rating': 2355, 'date': 1587612457, 'rd': 61}","{'win': 10, 'loss': 3, 'draw': 1}","{'win': 122, 'loss': 123, 'draw': 23}","{'win': 577, 'loss': 470, 'draw': 63}","{'win': 23, 'loss': 2, 'draw': 1, 'time_per_move': 11381, 'timeout_percent': 0}"
14,2tilted,NM,US,1587599810,1512620568,"{'rating': 1830, 'date': 1537145800, 'rd': 173}","{'rating': 2240, 'date': 1587599534, 'rd': 30}","{'rating': 1697, 'date': 1547253168, 'rd': 269}","{'rating': 2295, 'date': 1583191213, 'rd': 42}","{'win': 0, 'loss': 11, 'draw': 0}","{'win': 1824, 'loss': 1689, 'draw': 267}","{'win': 1689, 'loss': 1485, 'draw': 211}","{'win': 2, 'loss': 0, 'draw': 1, 'time_per_move': 1117, 'timeout_percent': 0}"
15,39clues,NM,US,1585003686,1340852680,"{'rating': 2003, 'date': 1578678713, 'rd': 189}","{'rating': 2019, 'date': 1584924587, 'rd': 51}","{'rating': 1908, 'date': 1504930433, 'rd': 221}","{'rating': 1965, 'date': 1585003575, 'rd': 38}","{'win': 38, 'loss': 9, 'draw': 3}","{'win': 1439, 'loss': 1234, 'draw': 108}","{'win': 2476, 'loss': 2236, 'draw': 166}","{'win': 6, 'loss': 2, 'draw': 0, 'time_per_move': 39482, 'timeout_percent': 0}"
16,3ptdka,NM,US,1587696989,1298164419,"{'rating': 2043, 'date': 1582852117, 'rd': 198}","{'rating': 2408, 'date': 1587759655, 'rd': 26}","{'rating': 2015, 'date': 1544092808, 'rd': 161}","{'rating': 2243, 'date': 1587305761, 'rd': 35}","{'win': 30, 'loss': 53, 'draw': 5}","{'win': 3725, 'loss': 3939, 'draw': 577}","{'win': 1114, 'loss': 1108, 'draw': 121}","{'win': 151, 'loss': 119, 'draw': 17, 'time_per_move': 19642, 'timeout_percent': 0}"
17,64life,NM,US,1564704498,1559336432,"{'rating': 2156, 'date': 1564644849, 'rd': 58}","{'rating': 1908, 'date': 1564588195, 'rd': 26}",N/A,N/A,"{'win': 40, 'loss': 10, 'draw': 2}","{'win': 266, 'loss': 236, 'draw': 25}",N/A,N/A
18,827883,NM,US,1587689035,1442879235,"{'rating': 1906, 'date': 1587769263, 'rd': 177}","{'rating': 2138, 'date': 1587773392, 'rd': 61}","{'rating': 949, 'date': 1540225812, 'rd': 162}","{'rating': 2068, 'date': 1587765542, 'rd': 82}","{'win': 8, 'loss': 2, 'draw': 0}","{'win': 205, 'loss': 125, 'draw': 21}","{'win': 107, 'loss': 67, 'draw': 7}","{'win': 5, 'loss': 1, 'draw': 0, 'time_per_move': 9547, 'timeout_percent': 0}"
19,911master,NM,US,1587676963,1390175693,"{'rating': 1602, 'date': 1587305228, 'rd': 168}","{'rating': 1943, 'date': 1587759714, 'rd': 28}","{'rating': 800, 'date': 1417302131, 'rd': 350}",N/A,"{'win': 73, 'loss': 36, 'draw': 6}","{'win': 8532, 'loss': 7436, 'draw': 519}",N/A,"{'win': 1, 'loss': 1, 'draw': 0, 'time_per_move': 111365, 'timeout_percent': 0}"
20,aaronmaster123,NM,US,1587689581,1310690798,"{'rating': 2119, 'date': 1550943686, 'rd': 197}","{'rating': 2312, 'date': 1587748553, 'rd': 38}","{'rating': 2044, 'date': 1437414412, 'rd': 79}","{'rating': 2146, 'date': 1587688589, 'rd': 41}","{'win': 5, 'loss': 0, 'draw': 3}","{'win': 5578, 'loss': 5405, 'draw': 896}","{'win': 3111, 'loss': 3219, 'draw': 422}","{'win': 42, 'loss': 25, 'draw': 14, 'time_per_move': 8351, 'timeout_percent': 0}"
21,aborigen_came,NM,UA,1587674604,1472283822,"{'rating': 2340, 'date': 1587557539, 'rd': 164}","{'rating': 2729, 'date': 1586309788, 'rd': 44}",N/A,"{'rating': 2526, 'date': 1586101066, 'rd': 65}","{'win': 9, 'loss': 1, 'draw': 1}","{'win': 2236, 'loss': 1751, 'draw': 527}","{'win': 136, 'loss': 97, 'draw': 18}",N/A
22,abund,NM,XX,1587638307,1519719648,N/A,"{'rating': 2671, 'date': 1587314138, 'rd': 31}",N/A,"{'rating': 2623, 'date': 1587549409, 'rd': 32}",N/A,"{'win': 311, 'loss': 305, 'draw': 55}","{'win': 252, 'loss': 329, 'draw': 51}",N/A
